"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US530330006013","Block Group 3, Census Tract 6.01, King County, Washington","1650","642","null","null","1287","603","null","null","36","52","null","null","0","13","null","null","208","202","null","null","0","13","null","null","6","null","9","null","113","110","null","null","33","46","null","null","80","113","null","null",
"1500000US530330006021","Block Group 1, Census Tract 6.02, King County, Washington","1391","450","null","null","848","313","null","null","96","154","null","null","15","25","null","null","368","197","null","null","0","13","null","null","0","null","13","null","64","61","null","null","16","28","null","null","48","53","null","null",
"1500000US530330006022","Block Group 2, Census Tract 6.02, King County, Washington","1125","386","null","null","785","439","null","null","0","13","null","null","0","13","null","null","205","244","null","null","0","13","null","null","90","null","149","null","45","54","null","null","4","8","null","null","41","53","null","null",
"1500000US530330006023","Block Group 3, Census Tract 6.02, King County, Washington","1367","432","null","null","775","297","null","null","231","238","null","null","0","13","null","null","116","100","null","null","0","13","null","null","139","null","198","null","106","115","null","null","10","16","null","null","96","115","null","null",
"1500000US530330007001","Block Group 1, Census Tract 7, King County, Washington","1382","568","null","null","779","431","null","null","0","13","null","null","10","16","null","null","327","211","null","null","0","13","null","null","114","null","129","null","152","151","null","null","90","118","null","null","62","94","null","null",
"1500000US530330007002","Block Group 2, Census Tract 7, King County, Washington","1405","579","null","null","1072","495","null","null","176","171","null","null","20","60","null","null","112","94","null","null","0","13","null","null","13","null","21","null","12","22","null","null","0","13","null","null","12","22","null","null",
"1500000US530330007003","Block Group 3, Census Tract 7, King County, Washington","1241","412","null","null","660","345","null","null","157","194","null","null","0","13","null","null","312","207","null","null","0","13","null","null","55","null","67","null","57","55","null","null","16","23","null","null","41","50","null","null",
"1500000US530330007004","Block Group 4, Census Tract 7, King County, Washington","1501","444","null","null","996","414","null","null","192","239","null","null","0","13","null","null","264","196","null","null","0","13","null","null","27","null","40","null","22","50","null","null","0","13","null","null","22","50","null","null",
"1500000US530330008001","Block Group 1, Census Tract 8, King County, Washington","1281","280","null","null","990","259","null","null","52","57","null","null","0","13","null","null","219","159","null","null","0","13","null","null","0","null","13","null","20","33","null","null","0","13","null","null","20","33","null","null",
"1500000US530330008002","Block Group 2, Census Tract 8, King County, Washington","1568","245","null","null","1220","220","null","null","10","15","null","null","1","2","null","null","151","86","null","null","9","19","null","null","0","null","13","null","177","111","null","null","0","13","null","null","177","111","null","null",
"1500000US530330009001","Block Group 1, Census Tract 9, King County, Washington","1185","212","null","null","960","200","null","null","56","87","null","null","0","13","null","null","147","63","null","null","0","13","null","null","0","null","13","null","22","19","null","null","0","13","null","null","22","19","null","null",
